ix_key,V_x,V_y,blockKey,side,span_vertex_count,probe_mid_x,probe_mid_y,probe_normal_x,probe_normal_y,probe_path_len_m,probe_steps,probe_null_reason,alley_class,feature_highway,feature_name,feature_distance,feature_source
"-836.60,-563.50",-836.60,-563.50,"-771.5,-545.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-836.60,-563.50",-836.60,-563.50,"-771.5,-545.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-836.60,-563.50",-836.60,-563.50,"-860.0,-614.0",next,5,-880.75,-608.97,-0.825,-0.566,29.00,15,bestDist=32.7>30,alley_present,service:alley,,6.49,absent
"-836.60,-563.50",-836.60,-563.50,"-860.0,-614.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-836.60,-563.50",-836.60,-563.50,"-896.5,-527.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-852.40,275.40",-852.40,275.40,"-757.0,369.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-852.40,275.40",-852.40,275.40,"-762.0,340.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-852.40,275.40",-852.40,275.40,"-762.0,340.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-852.40,275.40",-852.40,275.40,"-917.0,365.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-861.60,-469.10",-861.60,-469.10,"-771.5,-545.0",next,34,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-861.60,-469.10",-861.60,-469.10,"-771.5,-545.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-861.60,-469.10",-861.60,-469.10,"-811.5,-399.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-861.60,-469.10",-861.60,-469.10,"-811.5,-399.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"-861.60,-469.10",-861.60,-469.10,"-896.5,-527.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-861.60,-469.10",-861.60,-469.10,"-936.5,-423.5",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"-868.10,372.10",-868.10,372.10,"-762.0,340.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-868.10,372.10",-868.10,372.10,"-762.0,340.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-868.10,372.10",-868.10,372.10,"-778.0,437.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-868.10,372.10",-868.10,372.10,"-778.0,437.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"-88.40,566.60",-88.40,566.60,"-193.5,475.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-88.40,566.60",-88.40,566.60,"-193.5,475.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-88.40,566.60",-88.40,566.60,"-210.0,582.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-88.40,566.60",-88.40,566.60,"-210.0,582.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-88.40,566.60",-88.40,566.60,"-3.0,656.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-88.40,566.60",-88.40,566.60,"-3.0,656.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-88.40,566.60",-88.40,566.60,"13.5,548.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-88.40,566.60",-88.40,566.60,"13.5,548.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-885.10,472.40",-885.10,472.40,"-778.0,437.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"-885.10,472.40",-885.10,472.40,"-778.0,437.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-886.30,479.50",-886.30,479.50,"-794.5,545.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-886.30,479.50",-886.30,479.50,"-918.0,512.5",next,6,-922.10,513.68,-0.864,0.504,29.00,15,bestDist=31.2>30,alley_present,service:alley,,0.42,absent
"-886.30,479.50",-886.30,479.50,"-918.0,512.5",prev,6,-922.10,513.68,-0.864,0.504,29.00,15,bestDist=31.2>30,alley_present,service:alley,,0.42,absent
"-893.20,-350.40",-893.20,-350.40,"-811.5,-399.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"-893.20,-350.40",-893.20,-350.40,"-811.5,-399.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-893.20,-350.40",-893.20,-350.40,"-936.5,-423.5",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"-920.60,58.50",-920.60,58.50,"-735.5,130.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-920.60,58.50",-920.60,58.50,"-735.5,130.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-954.30,-357.50",-954.30,-357.50,"-997.0,-313.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-954.30,-357.50",-954.30,-357.50,"-997.0,-313.0",prev,5,-1023.38,-307.42,-0.960,-0.279,29.00,15,bestDist=41.7>30,alley_present,service:alley,,3.15,absent
"-955.10,258.70",-955.10,258.70,"-757.0,369.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-955.10,258.70",-955.10,258.70,"-917.0,365.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-970.90,-256.70",-970.90,-256.70,"-1015.5,-212.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-970.90,-256.70",-970.90,-256.70,"-1015.5,-212.5",prev,5,-1047.18,-207.18,-0.983,-0.183,29.00,15,bestDist=39.0>30,alley_present,service:alley,,12.02,absent
"-970.90,-256.70",-970.90,-256.70,"-997.0,-313.0",next,5,-1023.38,-307.42,-0.960,-0.279,29.00,15,bestDist=41.7>30,alley_present,service:alley,,3.15,absent
"-970.90,-256.70",-970.90,-256.70,"-997.0,-313.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-987.40,-158.00",-987.40,-158.00,"-1015.5,-212.5",next,5,-1047.18,-207.18,-0.983,-0.183,29.00,15,bestDist=39.0>30,alley_present,service:alley,,12.02,absent
"-987.40,-158.00",-987.40,-158.00,"-1015.5,-212.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-987.40,-158.00",-987.40,-158.00,"-1029.0,-114.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-987.40,-158.00",-987.40,-158.00,"-1029.0,-114.5",prev,5,-1061.05,-105.08,-0.996,-0.086,29.00,15,bestDist=36.5>30,alley_present,service:alley,,13.06,absent
"-99.10,-431.60",-99.10,-431.60,"-188.5,-453.5",next,34,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-99.10,-431.60",-99.10,-431.60,"-188.5,-453.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-99.10,-431.60",-99.10,-431.60,"116.0,-497.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"-99.10,-431.60",-99.10,-431.60,"116.0,-497.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"104.00,634.00",104.00,634.00,"-3.0,656.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"104.00,634.00",104.00,634.00,"-3.0,656.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"104.00,634.00",104.00,634.00,"13.5,548.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"104.00,634.00",104.00,634.00,"13.5,548.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"104.00,634.00",104.00,634.00,"203.0,617.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"121.20,526.00",121.20,526.00,"-151.0,408.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"121.20,526.00",121.20,526.00,"13.5,548.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"121.20,526.00",121.20,526.00,"13.5,548.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"121.20,526.00",121.20,526.00,"203.0,617.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"166.50,221.90",166.50,221.90,"-132.5,265.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"179.90,115.90",179.90,115.90,"306.0,-2.5",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"179.90,115.90",179.90,115.90,"306.0,-2.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"18.40,-402.00",18.40,-402.00,"-75.0,-320.5",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"18.40,-402.00",18.40,-402.00,"116.0,-497.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"225.40,-573.50",225.40,-573.50,"162.0,-645.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"225.40,-573.50",225.40,-573.50,"162.0,-645.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"229.00,-158.90",229.00,-158.90,"117.0,-299.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"229.00,-158.90",229.00,-158.90,"306.0,-2.5",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"251.60,-672.10",251.60,-672.10,"162.0,-645.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"251.60,-672.10",251.60,-672.10,"162.0,-645.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"251.60,-672.10",251.60,-672.10,"55.0,-767.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"259.60,-258.70",259.60,-258.70,"117.0,-299.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"259.60,-258.70",259.60,-258.70,"352.5,-202.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"259.60,-258.70",259.60,-258.70,"372.5,-272.5",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"259.60,-258.70",259.60,-258.70,"372.5,-272.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"284.80,-353.90",284.80,-353.90,"116.0,-497.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"284.80,-353.90",284.80,-353.90,"116.0,-497.5",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"284.80,-353.90",284.80,-353.90,"117.0,-299.0",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"284.80,-353.90",284.80,-353.90,"117.0,-299.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"284.80,-353.90",284.80,-353.90,"372.5,-272.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"284.80,-353.90",284.80,-353.90,"372.5,-272.5",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"284.80,-353.90",284.80,-353.90,"459.5,-414.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"284.80,-353.90",284.80,-353.90,"459.5,-414.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"29.30,-434.90",29.30,-434.90,"116.0,-497.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"29.30,-434.90",29.30,-434.90,"117.0,-299.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"309.10,-444.30",309.10,-444.30,"459.5,-414.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"309.10,-444.30",309.10,-444.30,"459.5,-414.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"335.10,-540.40",335.10,-540.40,"116.0,-497.5",next,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"335.10,-540.40",335.10,-540.40,"459.5,-414.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"386.30,149.10",386.30,149.10,"306.0,-2.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"394.50,98.80",394.50,98.80,"382.0,115.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"394.50,98.80",394.50,98.80,"456.5,15.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"394.50,98.80",394.50,98.80,"456.5,15.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"424.40,-88.70",424.40,-88.70,"456.5,15.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"453.60,-197.00",453.60,-197.00,"352.5,-202.5",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"453.60,-197.00",453.60,-197.00,"372.5,-272.5",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"453.60,-197.00",453.60,-197.00,"372.5,-272.5",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"46.10,-188.80",46.10,-188.80,"117.0,-299.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
