ix_key,V_x,V_y,blockKey,corner_legA_skel,corner_legB_skel,theta_deg,R_authored,R_used,d_A,d_B,vertex_match_dist,vertex_matched,bezier_consumed_span_len,arc_span_present,prevMeta_skip,nextMeta_skip,prevMeta_terminal,nextMeta_terminal,prevMeta_tl,prevMeta_sw,nextMeta_tl,nextMeta_sw,prevMeta_edgeOrd,nextMeta_edgeOrd,cw_plus_tl_sw_A,cw_plus_tl_sw_B,arc_R,cusp_safeMax,cusp_totalMax,cusp_fired,cusp_scale_k,dCorner,ramp_min_fired,pad_area_m2,pad_selfintersects,pad_ring_vertex_count,failure_mode,notes
"141.60,399.20",141.60,399.20,"278.5,353.5",mississippi-avenue,motorway-20,93.15,,0.000,3.35,0.00,0.001,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.001 (likely notConvex or R<=0.05)
"143.20,389.40",143.20,389.40,,mississippi-avenue,motorway-link-42,86.67,,0.000,6.13,0.00,4.877,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 4.877m exceeds TOL=0.5
"143.20,389.40",143.20,389.40,"-132.5,265.0",motorway-link-42,mississippi-avenue,93.27,,0.000,0.00,6.13,0.000,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.000 (likely notConvex or R<=0.05)
"143.20,389.40",143.20,389.40,"259.0,313.0",mississippi-avenue,motorway-link-42,86.93,,0.000,3.35,0.00,0.000,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.000 (likely notConvex or R<=0.05)
"143.20,389.40",143.20,389.40,"278.5,353.5",motorway-link-42,mississippi-avenue,93.14,,0.000,0.00,3.35,0.001,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.001 (likely notConvex or R<=0.05)
"166.50,221.90",166.50,221.90,"-132.5,265.0",mississippi-avenue,lafayette-avenue-3,114.26,,4.500,6.13,5.28,0.001,1,0.771,0,1,1,,none,,,0.00,0.00,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"166.50,221.90",166.50,221.90,"2.0,0.0",lafayette-avenue-3,mississippi-avenue,66.14,,4.500,7.77,6.13,0.001,1,2.376,1,0,0,sidewalk,sidewalk,2.91,3.22,3.56,4.21,,,4.050,3.278,4.500,4.050,8.151,1,0.472,4.050,0,28.730,0,34,ok,
"166.50,221.90",166.50,221.90,"259.0,313.0",lafayette-avenue-5,mississippi-avenue,48.09,,3.686,2.74,3.35,0.000,1,7.499,0,1,1,none,lawn,0.00,0.00,0.00,0.00,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"166.50,221.90",166.50,221.90,"382.0,115.0",mississippi-avenue,lafayette-avenue-6,95.12,,4.500,3.35,3.04,0.001,1,6.291,1,0,0,sidewalk,sidewalk,3.56,4.21,4.39,1.52,,,3.172,4.050,4.500,4.050,8.151,1,0.472,4.050,0,13.856,1,34,selfint,
"179.90,115.90",179.90,115.90,"306.0,-2.5",mississippi-avenue,kennett-place,89.76,,3.351,3.35,1.52,0.001,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"179.90,115.90",179.90,115.90,"382.0,115.0",kennett-place,mississippi-avenue,90.38,,0.000,0.00,3.35,0.001,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.001 (likely notConvex or R<=0.05)
"18.40,-402.00",18.40,-402.00,"-75.0,-320.5",mackay-place-0,hickory-street-1,85.54,,3.136,1.52,1.52,0.000,1,0.000,1,0,1,sidewalk,,1.00,1.12,,,,,2.503,2.503,3.136,2.822,2.503,0,1.000,2.503,0,8.097,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"18.40,-402.00",18.40,-402.00,"116.0,-497.5",hickory-street-1,mackay-place-1,94.18,,3.610,1.52,1.52,0.000,1,0.000,1,0,1,sidewalk,,0.00,1.52,,,3,,1.905,1.905,3.610,3.249,1.905,0,1.000,1.905,0,7.747,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"225.40,-573.50",225.40,-573.50,"162.0,-645.0",chouteau-avenue-0,south-21st-street,89.93,,4.416,2.00,3.54,0.001,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"225.40,-573.50",225.40,-573.50,"55.0,-767.0",south-21st-street,chouteau-avenue-0,90.07,,3.367,1.52,2.00,0.000,1,0.000,1,0,0,sidewalk,sidewalk,1.37,1.52,0.00,1.52,13,17,1.776,3.031,3.367,3.031,3.277,1,0.915,3.031,0,9.262,0,34,ok,
"229.00,-158.90",229.00,-158.90,"117.0,-299.0",park-avenue-1,mississippi-avenue,112.61,,4.500,4.59,6.13,0.000,1,2.330,0,1,1,none,,0.00,0.00,,,3,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"229.00,-158.90",229.00,-158.90,"2.0,0.0",mississippi-avenue,park-avenue-1,70.36,,4.500,6.13,4.92,0.001,1,2.970,1,0,0,sidewalk,sidewalk,3.19,1.73,2.91,3.22,,,4.050,3.325,4.500,4.050,6.515,1,0.598,4.050,0,25.249,0,34,ok,
"229.00,-158.90",229.00,-158.90,"306.0,-2.5",park-avenue-1,mississippi-avenue,109.23,,4.500,4.92,3.35,0.000,1,2.507,1,1,0,,sidewalk,,,3.19,1.73,,,4.050,4.050,4.500,4.050,5.303,1,0.745,4.050,0,11.758,1,34,selfint,
"229.00,-158.90",229.00,-158.90,"341.5,-154.0",mississippi-avenue,park-avenue-1,67.80,,4.500,3.35,4.59,0.001,1,8.667,1,0,1,sidewalk,none,1.73,2.87,0.00,0.00,,,4.050,4.050,4.500,4.050,4.974,1,0.799,4.050,0,27.024,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"245.60,238.60",245.60,238.60,"259.0,313.0",lafayette-avenue-5,preston-place,89.64,,3.344,2.74,1.52,0.000,1,0.000,1,1,0,lawn,sidewalk,0.00,0.00,1.07,1.68,,,3.009,3.009,3.344,3.009,3.124,1,0.958,3.009,0,9.176,0,34,wrong_flanking,next only — meta-fallback produced symmetric depths from one-sided data
"245.60,238.60",245.60,238.60,"259.0,313.0",preston-place,lafayette-avenue-5,90.46,,0.000,0.00,2.74,0.001,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.001 (likely notConvex or R<=0.05)
"251.60,-672.10",251.60,-672.10,"162.0,-645.0",south-21st-street,papin-street-0,90.12,,3.370,3.54,1.52,0.000,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"251.60,-672.10",251.60,-672.10,"55.0,-767.0",papin-street-0,south-21st-street,89.75,,4.500,6.97,3.54,0.001,1,0.000,1,0,1,sidewalk,,0.00,1.52,,,17,,1.905,1.905,4.500,4.050,1.905,0,1.000,1.905,0,10.814,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"259.60,-258.70",259.60,-258.70,"117.0,-299.0",rutger-street-1,mississippi-avenue,86.92,,3.203,1.52,6.13,0.000,1,0.000,1,1,0,,sidewalk,,,0.00,1.52,,,1.905,1.905,3.203,2.883,1.905,0,1.000,1.905,0,7.145,0,34,wrong_flanking,next only — meta-fallback produced symmetric depths from one-sided data
"259.60,-258.70",259.60,-258.70,"117.0,-299.0",mississippi-avenue,rutger-street-1,92.70,,3.519,6.13,1.52,0.000,1,0.000,1,0,1,sidewalk,none,0.00,1.52,0.00,0.00,,3,1.905,1.905,3.519,3.167,1.905,0,1.000,1.905,0,7.616,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"259.60,-258.70",259.60,-258.70,"352.5,-202.5",rutger-street-1,mississippi-avenue,87.31,,3.223,1.52,3.35,0.001,1,0.000,0,1,1,none,,0.00,0.00,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"259.60,-258.70",259.60,-258.70,"372.5,-272.5",mississippi-avenue,rutger-street-1,93.06,,3.541,3.35,1.52,0.000,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"284.80,-353.90",284.80,-353.90,"116.0,-497.5",hickory-street-0,mississippi-avenue,87.46,,3.230,1.52,6.13,0.001,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"284.80,-353.90",284.80,-353.90,"117.0,-299.0",mississippi-avenue,hickory-street-0,92.51,,3.507,6.13,1.52,0.001,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"284.80,-353.90",284.80,-353.90,"372.5,-272.5",hickory-street-0,mississippi-avenue,87.48,,3.231,1.52,3.35,0.001,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"284.80,-353.90",284.80,-353.90,"459.5,-414.0",mississippi-avenue,hickory-street-0,92.55,,3.510,3.35,1.52,0.000,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"29.30,-434.90",29.30,-434.90,"116.0,-497.5",mackay-place-1,hickory-street-0,89.86,,3.356,1.52,1.52,0.001,1,0.000,1,1,0,,sidewalk,,,0.00,1.52,,3,1.905,1.905,3.356,3.020,1.905,0,1.000,1.905,0,7.377,0,34,wrong_flanking,next only — meta-fallback produced symmetric depths from one-sided data
"29.30,-434.90",29.30,-434.90,"117.0,-299.0",hickory-street-0,mackay-place-1,90.74,,3.405,1.52,1.52,0.000,1,0.000,1,0,1,sidewalk,,0.00,1.52,,,,,1.905,1.905,3.405,3.064,1.905,0,1.000,1.905,0,7.449,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"309.10,-444.30",309.10,-444.30,"459.5,-414.0",mississippi-avenue,lasalle-street-1,89.90,,3.358,3.35,1.52,0.000,1,0.000,1,0,1,sidewalk,,0.00,1.52,,,6,,1.905,1.905,3.358,3.022,1.905,0,1.000,1.905,0,7.380,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"309.10,-444.30",309.10,-444.30,"459.5,-414.0",lasalle-street-1,mississippi-avenue,90.01,,3.364,1.52,3.35,0.000,1,0.000,1,1,0,,sidewalk,,,0.00,1.52,,6,1.905,1.905,3.364,3.028,1.905,0,1.000,1.905,0,7.389,0,34,wrong_flanking,next only — meta-fallback produced symmetric depths from one-sided data
"335.10,-540.40",335.10,-540.40,"116.0,-497.5",mississippi-avenue,chouteau-avenue-3,89.57,,4.368,6.13,1.99,0.001,1,3.104,1,0,1,sidewalk,,0.47,1.52,,,8,,2.374,2.374,4.368,3.931,2.374,0,1.000,2.374,0,12.191,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"335.10,-540.40",335.10,-540.40,"459.5,-414.0",chouteau-avenue-3,mississippi-avenue,90.22,,4.415,1.99,3.35,0.000,1,0.000,1,1,0,,sidewalk,,,0.47,1.52,,8,2.374,2.374,4.415,3.973,2.374,0,1.000,2.374,0,12.274,0,34,wrong_flanking,next only — meta-fallback produced symmetric depths from one-sided data
"336.90,-547.20",336.90,-547.20,,chouteau-avenue-2,mississippi-avenue,89.85,,0.000,0.00,3.35,7.025,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 7.025m exceeds TOL=0.5
"336.90,-547.20",336.90,-547.20,,mississippi-avenue,chouteau-avenue-2,90.13,,0.000,6.13,0.00,7.084,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 7.084m exceeds TOL=0.5
"340.00,-120.60",340.00,-120.60,"306.0,-2.5",park-avenue-1,vail-place,89.46,,3.334,4.92,1.52,0.000,1,0.000,1,0,0,sidewalk,sidewalk,0.00,1.52,4.39,1.52,,,3.001,1.057,3.334,3.001,6.291,1,0.443,3.001,0,9.143,0,34,ok,
"340.00,-120.60",340.00,-120.60,"306.0,-2.5",vail-place,park-avenue-1,90.51,,3.392,1.52,4.92,0.001,1,0.000,1,0,0,sidewalk,sidewalk,3.19,1.73,0.00,1.52,,,1.208,3.053,3.392,3.053,5.303,1,0.543,3.053,0,9.350,0,34,ok,
"368.40,259.50",368.40,259.50,"259.0,313.0",south-18th-street-8,lafayette-avenue-5,101.03,,4.500,2.77,2.74,0.220,1,0.623,1,0,1,sidewalk,none,1.07,1.68,0.00,0.00,,,3.124,3.124,4.500,4.050,3.124,0,1.000,3.124,0,13.094,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"369.80,250.70",369.80,250.70,,lafayette-avenue-12,south-18th-street-8,87.47,,0.000,0.00,5.91,8.566,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 8.566m exceeds TOL=0.5
"376.90,438.10",376.90,438.10,"484.5,549.5",motorway-link-8,motorway-link-8,11.02,,0.000,0.00,0.00,0.001,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.001 (likely notConvex or R<=0.05)
"386.30,149.10",386.30,149.10,"306.0,-2.5",kennett-place,south-18th-street-3,90.12,,3.370,1.52,5.91,0.000,1,0.000,1,0,1,sidewalk,,4.39,1.52,,,,,3.033,3.033,3.370,3.033,6.291,1,0.449,3.033,0,9.272,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"386.30,149.10",386.30,149.10,"382.0,115.0",south-18th-street-3,kennett-place,90.04,,0.000,5.91,0.00,0.000,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.000 (likely notConvex or R<=0.05)
"394.50,98.80",394.50,98.80,"382.0,115.0",carroll-street-1,south-18th-street-3,89.95,,3.361,1.52,2.77,0.001,1,0.000,1,0,1,sidewalk,,4.39,1.52,,,,,3.025,3.025,3.361,3.025,6.291,1,0.447,3.025,0,9.238,0,34,wrong_flanking,prev only — meta-fallback produced symmetric depths from one-sided data
"394.50,98.80",394.50,98.80,"456.5,15.0",south-18th-street-3,carroll-street-1,90.25,,3.377,2.77,1.52,0.000,1,0.000,0,1,1,,,,,,,,,,,,,,0,,,0,,0,,flanking_skip,both flanking straight-spans skip
"395.40,448.40",395.40,448.40,,motorway-link-8,motorway-link-14,76.16,,0.000,0.00,0.00,1.499,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 1.499m exceeds TOL=0.5
"395.40,448.40",395.40,448.40,,motorway-link-8,motorway-link-14,76.64,,0.000,0.00,0.00,7.477,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 7.477m exceeds TOL=0.5
"395.40,448.40",395.40,448.40,,motorway-link-14,motorway-link-8,103.13,,0.000,0.00,0.00,6.516,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 6.516m exceeds TOL=0.5
"395.40,448.40",395.40,448.40,,motorway-link-14,motorway-link-8,104.06,,0.000,0.00,0.00,2.459,0,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,min vertex dist 2.459m exceeds TOL=0.5
"396.50,444.50",396.50,444.50,"269.0,463.5",motorway-link-14,motorway-2,92.33,,0.000,0.00,0.00,0.000,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.000 (likely notConvex or R<=0.05)
"396.50,444.50",396.50,444.50,"278.5,353.5",motorway-2,motorway-link-14,86.80,,0.000,0.00,0.00,0.000,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.000 (likely notConvex or R<=0.05)
"396.50,444.50",396.50,444.50,"367.0,541.0",motorway-2,motorway-link-14,87.85,,0.000,0.00,0.00,0.000,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.000 (likely notConvex or R<=0.05)
"396.50,444.50",396.50,444.50,"459.0,391.0",motorway-link-14,motorway-2,93.02,,0.000,0.00,0.00,0.000,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.000 (likely notConvex or R<=0.05)
"407.10,268.30",407.10,268.30,"278.5,353.5",motorway-link-13,lafayette-avenue-10,17.04,,0.000,0.00,5.28,0.000,1,,0,,,,,,,,,,,,,,,,0,,,0,,0,,no_match,no arc-span partition for corner; vertexMatchDist=0.000 (likely notConvex or R<=0.05)
"424.40,-88.70",424.40,-88.70,"341.5,-154.0",park-avenue-1,south-18th-street-3,83.54,,4.500,4.59,5.91,0.000,1,0.000,1,1,0,none,sidewalk,0.00,0.00,1.73,2.87,,,4.050,4.050,4.500,4.050,4.974,1,0.799,4.050,0,17.739,0,34,wrong_flanking,next only — meta-fallback produced symmetric depths from one-sided data
"424.40,-88.70",424.40,-88.70,"456.5,15.0",park-avenue-6,south-18th-street-3,58.45,,4.091,4.69,2.77,0.000,1,4.360,1,1,0,,sidewalk,,,1.00,3.69,,,3.682,3.682,4.091,3.682,5.074,1,0.703,3.682,0,18.549,0,34,wrong_flanking,next only — meta-fallback produced symmetric depths from one-sided data
